Municipio,Año,Subtipo de delito,Casos
San Felipe,2023,Homicidio culposo,31.0
San Felipe,2023,Homicidio doloso,13.0
San Felipe,2024,Homicidio culposo,37.0
San Felipe,2024,Homicidio doloso,13.0
San Felipe,2025,Homicidio culposo,31.0
San Felipe,2025,Homicidio doloso,23.0
San Francisco del Rincón,2020,Homicidio culposo,23.0
San Francisco del Rincón,2020,Homicidio doloso,89.0
San Francisco del Rincón,2021,Homicidio culposo,11.0
San Francisco del Rincón,2021,Homicidio doloso,128.0
San Francisco del Rincón,2022,Homicidio culposo,21.0
San Francisco del Rincón,2022,Homicidio doloso,118.0
San Francisco del Rincón,2023,Homicidio culposo,16.0
San Francisco del Rincón,2023,Homicidio doloso,72.0
San Francisco del Rincón,2024,Homicidio culposo,21.0
San Francisco del Rincón,2024,Homicidio doloso,74.0
San Francisco del Rincón,2025,Homicidio culposo,28.0
San Francisco del Rincón,2025,Homicidio doloso,45.0
San José Iturbide,2020,Homicidio culposo,44.0
San José Iturbide,2020,Homicidio doloso,42.0
San José Iturbide,2021,Homicidio culposo,29.0
San José Iturbide,2021,Homicidio doloso,31.0
San José Iturbide,2022,Homicidio culposo,27.0
San José Iturbide,2022,Homicidio doloso,20.0
San José Iturbide,2023,Homicidio culposo,31.0
San José Iturbide,2023,Homicidio doloso,22.0
San José Iturbide,2024,Homicidio culposo,29.0
San José Iturbide,2024,Homicidio doloso,21.0
San José Iturbide,2025,Homicidio culposo,38.0
San José Iturbide,2025,Homicidio doloso,14.0
San Luis de la Paz,2020,Homicidio culposo,37.0
San Luis de la Paz,2020,Homicidio doloso,47.0
San Luis de la Paz,2021,Homicidio culposo,30.0
San Luis de la Paz,2021,Homicidio doloso,50.0
San Luis de la Paz,2022,Homicidio culposo,24.0
San Luis de la Paz,2022,Homicidio doloso,38.0
San Luis de la Paz,2023,Homicidio culposo,38.0
San Luis de la Paz,2023,Homicidio doloso,33.0
San Luis de la Paz,2024,Homicidio culposo,27.0
San Luis de la Paz,2024,Homicidio doloso,38.0
San Luis de la Paz,2025,Homicidio culposo,26.0
San Luis de la Paz,2025,Homicidio doloso,21.0
San Miguel de Allende,2020,Homicidio culposo,36.0
San Miguel de Allende,2020,Homicidio doloso,41.0
San Miguel de Allende,2021,Homicidio culposo,27.0
San Miguel de Allende,2021,Homicidio doloso,31.0
San Miguel de Allende,2022,Homicidio culposo,21.0
San Miguel de Allende,2022,Homicidio doloso,48.0
San Miguel de Allende,2023,Homicidio culposo,31.0
San Miguel de Allende,2023,Homicidio doloso,51.0
San Miguel de Allende,2024,Homicidio culposo,49.0
San Miguel de Allende,2024,Homicidio doloso,52.0
San Miguel de Allende,2025,Homicidio culposo,22.0
San Miguel de Allende,2025,Homicidio doloso,65.0
Santa Catarina,2020,Homicidio culposo,0.0
